Date,Open,High,Low,Close,Adj Close,Volume
2016-08-29,4.814000,4.963000,4.872000,4.918000,4.918000,921594
2016-08-30,4.918000,5.013000,4.917000,4.968000,4.968000,743555
2016-08-31,4.968000,4.976000,4.892000,4.933000,4.933000,498799
2016-09-01,4.933000,5.064000,4.941000,5.029000,5.029000,694356
2016-09-02,5.029000,5.065000,4.983000,5.022000,5.022000,585153
2016-09-03,5.022000,5.143000,4.930000,5.010000,5.010000,816368
2016-09-04,5.010000,5.257000,5.118000,5.196000,5.196000,473834
2016-09-05,5.196000,5.213000,5.114000,5.146000,5.146000,273588
2016-09-06,5.146000,5.152000,5.034000,5.086000,5.086000,376658
2016-09-07,5.086000,5.159000,5.040000,5.101000,5.101000,436754
2016-09-08,5.101000,5.250000,5.125000,5.167000,5.167000,395922
2016-09-09,5.167000,5.137000,5.047000,5.095000,5.095000,263734
2016-09-10,5.095000,5.186000,5.129000,5.150000,5.150000,147257
2016-09-11,5.150000,5.028000,4.866000,4.947000,4.947000,492832
2016-09-12,4.947000,5.129000,4.957000,5.010000,5.010000,494881
2016-09-13,5.010000,5.151000,5.050000,5.103000,5.103000,301432
2016-09-14,5.103000,5.101000,5.048000,5.087000,5.087000,159593
2016-09-15,5.087000,5.117000,5.029000,5.076000,5.076000,348933
2016-09-16,5.076000,5.115000,5.056000,5.091000,5.091000,204326
2016-09-17,5.091000,5.108000,5.040000,5.079000,5.079000,164161
2016-09-18,5.079000,5.098000,5.051000,5.062000,5.062000,189656
2016-09-19,5.062000,5.116000,5.053000,5.099000,5.099000,274935
2016-09-20,5.099000,5.112000,5.046000,5.089000,5.089000,312557
2016-09-21,5.089000,5.072000,4.982000,5.052000,5.052000,435478
2016-09-22,5.052000,5.058000,4.998000,5.034000,5.034000,234014
2016-09-23,5.034000,5.142000,5.018000,5.064000,5.064000,380537
2016-09-24,5.064000,5.111000,5.044000,5.077000,5.077000,241656
2016-09-25,5.077000,5.063000,5.019000,5.039000,5.039000,95480
2016-09-26,5.039000,5.174000,5.084000,5.149000,5.149000,376633
2016-09-27,5.149000,5.168000,5.093000,5.114000,5.114000,324911
2016-09-28,5.114000,5.153000,5.103000,5.127000,5.127000,264874
2016-09-29,5.127000,5.101000,5.049000,5.086000,5.086000,295843
2016-09-30,5.086000,5.117000,5.045000,5.073000,5.073000,330581
2016-10-01,5.073000,5.126000,5.059000,5.074000,5.074000,142518
2016-10-02,5.074000,5.112000,5.063000,5.094000,5.094000,69629
2016-10-03,5.094000,5.135000,5.055000,5.077000,5.077000,153472
2016-10-04,5.077000,5.114000,5.002000,5.078000,5.078000,174514
2016-10-05,5.078000,5.110000,5.056000,5.091000,5.091000,167829
2016-10-06,5.091000,5.119000,5.046000,5.077000,5.077000,320936
2016-10-07,5.077000,5.143000,5.089000,5.112000,5.112000,162413
2016-10-08,5.112000,5.091000,5.038000,5.056000,5.056000,84539
2016-10-09,5.056000,5.090000,5.022000,5.050000,5.050000,100916
