Date,Open,High,Low,Close,Adj Close,Volume
2016-08-29,0.007797,0.008474,0.007647,0.008188,0.008188,663358
2016-08-30,0.008229,0.008441,0.007701,0.007814,0.007814,494829
2016-08-31,0.007752,0.007947,0.007595,0.007857,0.007857,532408
2016-09-01,0.007899,0.007899,0.007696,0.007816,0.007816,189466
2016-09-02,0.007836,0.007889,0.007708,0.007791,0.007791,137426
2016-09-03,0.007946,0.007962,0.007554,0.007685,0.007685,242188
2016-09-04,0.007924,0.008059,0.007551,0.007765,0.007765,351901
2016-09-05,0.007726,0.007876,0.007489,0.007663,0.007663,329741
2016-09-06,0.007624,0.007781,0.007388,0.007514,0.007514,218835
2016-09-07,0.007552,0.007695,0.007505,0.007521,0.007521,181500
2016-09-08,0.007701,0.007888,0.007564,0.007604,0.007604,142552
2016-09-09,0.007499,0.007635,0.007427,0.007555,0.007555,111818
2016-09-10,0.007661,0.007815,0.007596,0.007605,0.007605,78729
2016-09-11,0.007285,0.007719,0.007177,0.007494,0.007494,120897
2016-09-12,0.007736,0.008000,0.007544,0.007736,0.007736,136665
2016-09-13,0.007832,0.008034,0.007597,0.007888,0.007888,196100
2016-09-14,0.007860,0.008546,0.007714,0.008070,0.008070,368290
2016-09-15,0.008078,0.014140,0.007917,0.011540,0.011540,11664839
2016-09-16,0.011570,0.011950,0.009031,0.009557,0.009557,8224683
2016-09-17,0.009556,0.009994,0.009184,0.009322,0.009322,1219281
2016-09-18,0.009298,0.009330,0.008789,0.009112,0.009112,1395061
2016-09-19,0.009136,0.009978,0.008957,0.009103,0.009103,1896808
2016-09-20,0.009104,0.009202,0.008780,0.009015,0.009015,839606
2016-09-21,0.008876,0.009514,0.008828,0.009083,0.009083,1046020
2016-09-22,0.009070,0.009437,0.008927,0.009054,0.009054,812786
2016-09-23,0.009096,0.009968,0.009000,0.009864,0.009864,1932849
2016-09-24,0.009863,0.009975,0.009351,0.009855,0.009855,1563994
2016-09-25,0.009789,0.010840,0.009527,0.010650,0.010650,3536433
2016-09-26,0.010830,0.011920,0.010090,0.010260,0.010260,6142075
2016-09-27,0.010220,0.011320,0.010040,0.011100,0.011100,3245576
2016-09-28,0.011140,0.012400,0.010900,0.012190,0.012190,5608497
2016-09-29,0.012070,0.012460,0.011410,0.011820,0.011820,4371386
2016-09-30,0.011860,0.012580,0.011280,0.011410,0.011410,4315570
2016-10-01,0.011520,0.011600,0.010320,0.010630,0.010630,2969994
2016-10-02,0.010620,0.011090,0.010550,0.010780,0.010780,943631
2016-10-03,0.010770,0.011110,0.010530,0.010710,0.010710,1212433
2016-10-04,0.010720,0.010960,0.010230,0.010330,0.010330,1292130
2016-10-05,0.010340,0.010380,0.009476,0.009630,0.009630,2381710
2016-10-06,0.009648,0.010150,0.009510,0.009786,0.009786,1105855
2016-10-07,0.009853,0.010070,0.009443,0.009713,0.009713,882200
2016-10-08,0.009666,0.009837,0.009381,0.009707,0.009707,334036
2016-10-09,0.009732,0.010410,0.009675,0.009920,0.009920,886851
2016-10-10,0.009941,0.011400,0.009941,0.010490,0.010490,4202888
2016-10-11,0.010870,0.011320,0.010050,0.010430,0.010430,1728554
2016-10-12,0.010320,0.010740,0.010030,0.010380,0.010380,900999
2016-10-13,0.010470,0.010580,0.010270,0.010490,0.010490,332126
